EmployeeID,FirstName,LastName,Gender,State,City,HireDate,Department,JobTitle,EducationLevel,PerformanceRating,Overtime,BaseSalary,BirthDate,TerminationDate,AdjustedSalary,Age,YearsOfService,IsActive,Email,PhoneNumber
EMP69619A43,Rebecca,Henderson,Female,Florida,Orlando,2021-01-25,Engineering,Engineering Manager,Bachelor's Degree,Satisfactory,No,149000,1984-07-13,,149000,40,4,TRUE,rebecca.henderson@company.com,(285)849-2724x0002
EMPB35E2099,James,Carlson,Male,New York,Syracuse,2018-07-01,Sales,Sales Representative,Bachelor's Degree,Excellent,No,65000,1987-11-19,,67000,37,6,TRUE,james.carlson@company.com,+1-401-946-0519x08543
EMPA5747F27,Kendra,Maddox,Female,North Carolina,Durham,2022-12-01,Operations,Operations Manager,Bachelor's Degree,Good,No,106000,1986-11-11,,106000,38,2,TRUE,kendra.maddox@company.com,863-503-3563
EMP919C8A8C,Tommy,Frazier,Male,North Carolina,Charlotte,2018-02-14,Sales,Account Executive,Master's Degree,Excellent,No,61000,1977-06-25,,65000,47,7,TRUE,tommy.frazier@company.com,5103009089.00
EMP2F24C190,Melanie,Herrera,Female,North Carolina,Raleigh,2023-04-14,IT,CTO,Master's Degree,Good,Yes,218000,1986-01-18,2024-10-25,222000,39,1,FALSE,melanie.herrera@company.com,-6089.00
EMP52FC1D77,Margaret,Rodriguez,Female,Texas,Austin,2023-06-18,IT,CTO,PhD,Good,No,176000,1970-02-25,,188000,55,1,TRUE,margaret.rodriguez@company.com,001-641-558-9290x930
EMPCF3BBF39,Christopher,Smith,Male,California,San Jose,2021-10-08,Engineering,Software Engineer,Bachelor's Degree,Needs Improvement,No,97000,1981-01-02,,101000,44,3,TRUE,christopher.smith@company.com,+1-476-461-3662x8081
EMP5082B660,Shawn,Baker,Male,Illinois,Springfield,2024-07-13,Sales,Sales Manager,Master's Degree,Excellent,No,76000,1982-05-18,,81000,42,0,TRUE,shawn.baker@company.com,+1-368-215-9474x70531
EMPF102BEED,Philip,Romero,Male,Illinois,Naperville,2022-02-11,Human Resources,Recruiter,Associate's Degree,Good,Yes,74000,1998-02-13,,74000,27,3,TRUE,philip.romero@company.com,(683)430-9673x979
EMP58AA5DEF,Seth,Evans,Male,Michigan,Detroit,2023-09-06,Operations,Director of Operations,Master's Degree,Good,No,156000,1972-05-06,,167000,52,1,TRUE,seth.evans@company.com,989-814-2693
EMPE87F1CCB,Jordan,Gonzalez,Male,Pennsylvania,Philadelphia,2022-05-26,Finance,Finance Manager,Master's Degree,Satisfactory,No,111000,1986-10-23,,117000,38,2,TRUE,jordan.gonzalez@company.com,001-450-516-7671x8776
EMP3DF7C0CB,Pamela,Ryan,Female,Illinois,Rockford,2015-10-30,Sales,Sales Manager,Bachelor's Degree,Good,No,87000,1968-06-10,,89000,56,9,TRUE,pamela.ryan@company.com,(436)488-5016x27629
EMP544FFC9C,Tammy,Sellers,Female,Texas,Austin,2015-08-21,Marketing,Marketing Specialist,Associate's Degree,Satisfactory,No,52000,1989-11-17,,50000,35,9,TRUE,tammy.sellers@company.com,(466)478-8093x76165
EMP9BD17BDE,Erika,Smith,Female,Illinois,Rockford,2018-12-27,Marketing,Content Writer,Bachelor's Degree,Good,Yes,59000,1990-01-17,,59000,35,6,TRUE,erika.smith@company.com,-8886.00
EMPCCFD390A,Heidi,Galloway,Female,Illinois,Rockford,2021-11-10,Marketing,Digital Marketing Manager,Master's Degree,Satisfactory,No,88000,1990-10-02,,90000,34,3,TRUE,heidi.galloway@company.com,001-981-425-5977
EMPB67DC729,Eric,Brown,Male,Illinois,Chicago,2018-12-07,Engineering,Engineering Manager,Master's Degree,Good,Yes,143000,1984-01-24,,150000,41,6,TRUE,eric.brown@company.com,(259)376-4083x85805
EMP992E06F5,Latoya,Miller,Female,New York,Syracuse,2022-10-12,IT,IT Manager,Master's Degree,Good,Yes,127000,1989-09-12,,129000,35,2,TRUE,latoya.miller@company.com,001-341-471-6578x939
EMP2A722964,Katelyn,Jones,Female,New York,Albany,2022-10-23,Engineering,Senior Software Engineer,Bachelor's Degree,Good,Yes,143000,1976-01-26,,144000,49,2,TRUE,katelyn.jones@company.com,001-356-651-8871
EMPABB1B83C,Joseph,Martinez,Male,New York,New York City,2021-09-14,Human Resources,Recruiter,Associate's Degree,Good,Yes,62000,1998-03-21,,62000,26,3,TRUE,joseph.martinez@company.com,960.905.0092x44928
EMP24747848,Karen,Pierce,Female,Florida,Miami,2017-04-13,Human Resources,HR Specialist,Associate's Degree,Excellent,Yes,66000,1981-06-09,,65000,43,7,TRUE,karen.pierce@company.com,(770)230-2930x112
EMP1EB92651,Joseph,Obrien,Male,Florida,Orlando,2016-03-23,Finance,Accountant,Bachelor's Degree,Good,No,82000,1993-12-28,,84000,31,8,TRUE,joseph.obrien@company.com,886-707-4290
EMP6D05CB5F,Tanya,Campos,Female,Pennsylvania,Allentown,2021-09-25,Engineering,Software Engineer,Bachelor's Degree,Good,Yes,91000,1977-08-12,,92000,47,3,TRUE,tanya.campos@company.com,(222)833-6931
EMP21A7EF11,Christina,Collins,Female,California,Sacramento,2023-09-18,Finance,Accountant,Bachelor's Degree,Good,Yes,65000,1987-04-01,,65000,37,1,TRUE,christina.collins@company.com,(800)873-0242
EMP31FCFFC8,Marie,Kim,Female,Florida,Orlando,2021-07-21,Finance,Financial Analyst,Bachelor's Degree,Needs Improvement,No,82000,1987-02-12,,82000,38,3,TRUE,marie.kim@company.com,(749)975-3740
EMPAAF8309F,Jocelyn,Wright,Female,Texas,Dallas,2021-01-25,Finance,Accountant,Bachelor's Degree,Needs Improvement,No,76000,1986-02-21,,76000,39,4,TRUE,jocelyn.wright@company.com,001-914-546-9567x406
EMP8B462B53,George,Chapman,Male,North Carolina,Greensboro,2016-03-30,IT,IT Support Specialist,Associate's Degree,Excellent,Yes,52000,1986-01-06,,52000,39,8,TRUE,george.chapman@company.com,(844)753-4514x668
EMPA48C4045,Leah,Smith,Female,Illinois,Chicago,2019-10-02,Finance,Financial Analyst,Bachelor's Degree,Satisfactory,Yes,80000,1986-05-03,,80000,38,5,TRUE,leah.smith@company.com,534.883.4835x86267
EMP616D9220,Mark,Perez,Male,North Carolina,Charlotte,2022-12-18,Engineering,Software Engineer,Master's Degree,Good,No,116000,1994-08-17,2024-01-13,122000,30,1,FALSE,mark.perez@company.com,(648)553-2077x5870
EMPDEA5811E,Scott,Jones,Male,Ohio,Columbus,2022-04-03,Engineering,Software Engineer,Bachelor's Degree,Satisfactory,No,95000,1997-05-04,,98000,27,2,TRUE,scott.jones@company.com,(769)283-4436
EMP3D2CED5E,Diana,Washington,Female,Michigan,Ann Arbor,2019-07-29,Engineering,Engineering Manager,PhD,Needs Improvement,No,164000,1966-03-11,,175000,59,5,TRUE,diana.washington@company.com,(904)450-5092x846
EMP24E8A3F7,Brandi,Walls,Female,Ohio,Cincinnati,2016-08-09,Human Resources,HR Manager,Master's Degree,Needs Improvement,No,111000,1969-06-17,,115000,55,8,TRUE,brandi.walls@company.com,001-500-973-4293x9077
EMP6A3601A3,Kenneth,Sanchez,Male,Ohio,Cleveland,2019-07-03,Engineering,QA Engineer,Associate's Degree,Excellent,No,80000,1997-02-03,,80000,28,5,TRUE,kenneth.sanchez@company.com,(395)845-0380
EMP0D3ED17D,Rhonda,Lee,Female,Ohio,Akron,2024-02-07,Engineering,Engineering Director,PhD,Good,No,169000,1974-03-11,,179000,51,1,TRUE,rhonda.lee@company.com,(658)751-5020
EMP065D93DF,Mary,Gomez,Female,Georgia,Savannah,2021-06-09,Engineering,Software Engineer,Bachelor's Degree,Satisfactory,No,91000,1977-07-31,,92000,47,3,TRUE,mary.gomez@company.com,4289143531.00
EMPC5F6538F,John,Daniel,Male,Texas,Austin,2016-09-18,Sales,Sales Manager,Master's Degree,Good,No,76000,1980-07-14,2024-09-10,81000,44,7,FALSE,john.daniel@company.com,+1-543-737-9531x112
EMP55CA5675,Victoria,Garcia,Female,Florida,Jacksonville,2022-06-06,Sales,Sales Representative,Associate's Degree,Good,Yes,62000,1997-10-22,,60000,27,2,TRUE,victoria.garcia@company.com,001-404-826-5274
EMP3B1C8535,Monica,Mcbride,Female,Michigan,Grand Rapids,2023-02-12,Finance,Financial Analyst,Master's Degree,Satisfactory,Yes,77000,1993-12-06,,78000,31,2,TRUE,monica.mcbride@company.com,+1-762-651-0857x38385
EMP91CB9E2F,Danielle,Lee,Female,California,Los Angeles,2019-06-24,IT,Systems Administrator,Associate's Degree,Satisfactory,No,74000,1974-10-13,,72000,50,5,TRUE,danielle.lee@company.com,714-760-9193x51174
EMP3F4969FB,Charles,White,Male,North Carolina,Raleigh,2016-06-28,Human Resources,HR Specialist,Bachelor's Degree,Satisfactory,No,59000,1979-08-01,,61000,45,8,TRUE,charles.white@company.com,937-606-2728x16733
EMP64B06C00,Danielle,Leblanc,Female,North Carolina,Winston-Salem,2020-06-21,IT,IT Support Specialist,Bachelor's Degree,Excellent,No,69000,1983-08-22,,70000,41,4,TRUE,danielle.leblanc@company.com,(812)215-7562x6412
EMPD2394C36,Rhonda,Chase,Female,North Carolina,Durham,2021-02-08,Sales,Sales Representative,Associate's Degree,Satisfactory,No,54000,1993-06-17,,52000,31,4,TRUE,rhonda.chase@company.com,548.318.7620x99069
EMPD49A3D12,Anthony,Kidd,Male,Florida,Tampa,2023-11-21,Engineering,Software Engineer,Master's Degree,Excellent,No,105000,1993-04-17,2024-05-24,110000,31,0,FALSE,anthony.kidd@company.com,+1-663-703-9951x670
EMP73582059,Wayne,House,Male,Illinois,Springfield,2020-11-25,Sales,Sales Director,Master's Degree,Needs Improvement,Yes,110000,1968-10-28,,118000,56,4,TRUE,wayne.house@company.com,5593982267.00
EMPAF2E9EB5,David,Russell,Male,Florida,Jacksonville,2021-07-06,IT,Systems Administrator,Bachelor's Degree,Good,No,84000,1996-12-12,,87000,28,3,TRUE,david.russell@company.com,(734)338-8804
EMP360E94DD,Daniel,Morales,Male,North Carolina,Durham,2015-01-23,Marketing,CMO,PhD,Good,No,173000,1966-07-20,,191000,58,10,TRUE,daniel.morales@company.com,+1-442-502-5936x45028
EMPA59441D6,Christopher,Smith,Male,Michigan,Detroit,2018-06-01,Marketing,Content Writer,Associate's Degree,Excellent,No,53000,1995-12-09,,53000,29,6,TRUE,christopher.smith@company.com,934-427-5576
EMP5920293E,Deborah,Bowers,Female,Ohio,Toledo,2024-06-25,Marketing,Marketing Specialist,Bachelor's Degree,Needs Improvement,No,60000,1993-11-22,,60000,31,0,TRUE,deborah.bowers@company.com,+1-591-615-4904x431
EMP92B421D5,Dustin,Horton,Male,Ohio,Cincinnati,2022-10-11,Engineering,QA Engineer,Associate's Degree,Excellent,No,88000,1986-08-16,,88000,38,2,TRUE,dustin.horton@company.com,969.953.1029
EMP540B9A99,Zachary,Peters,Male,North Carolina,Charlotte,2021-10-07,IT,Network Engineer,Master's Degree,Good,No,98000,1978-10-05,2024-07-08,104000,46,2,FALSE,zachary.peters@company.com,415-806-2917
EMP3CA4593A,Brittney,Phillips,Female,Ohio,Cleveland,2023-01-23,Sales,Sales Representative,High School,Needs Improvement,Yes,49000,1992-07-20,,48000,32,2,TRUE,brittney.phillips@company.com,517-432-8162x91087
EMPA01F8D63,Kerry,Daniels,Male,Georgia,Augusta,2023-10-18,Engineering,Engineering Director,PhD,Satisfactory,No,180000,1976-06-09,,196000,48,1,TRUE,kerry.daniels@company.com,(919)583-6915
EMP94BF45E5,Emily,Williams,Female,Ohio,Cincinnati,2023-07-05,Engineering,Software Engineer,Bachelor's Degree,Satisfactory,No,99000,1977-10-13,2024-07-14,100000,47,1,FALSE,emily.williams@company.com,+1-676-771-0529x87707
EMPD02AD657,Thomas,Schmidt,Male,Pennsylvania,Pittsburgh,2023-01-23,Human Resources,HR Director,Master's Degree,Excellent,No,153000,1968-01-17,,164000,57,2,TRUE,thomas.schmidt@company.com,+1-291-453-0445x002
EMPC0317F62,Tonya,Miller,Female,Florida,Orlando,2018-03-14,IT,Network Engineer,Bachelor's Degree,Good,No,99000,1989-01-16,,99000,36,6,TRUE,tonya.miller@company.com,001-768-838-7890x34502
EMP50390614,Andrea,Jones,Female,Texas,Fort Worth,2020-11-30,Sales,Sales Manager,Bachelor's Degree,Satisfactory,No,82000,1982-06-05,,83000,42,4,TRUE,andrea.jones@company.com,760.630.4093x467
EMPE36BE675,David,Wilson,Male,Michigan,Detroit,2023-12-12,Marketing,Digital Marketing Manager,Bachelor's Degree,Good,Yes,109000,1990-02-27,2024-09-12,112000,35,0,FALSE,david.wilson@company.com,+1-418-923-6881x0138
EMPDE8842E1,Kent,Williams,Male,Illinois,Rockford,2018-02-01,Finance,Finance Manager,Bachelor's Degree,Excellent,Yes,112000,1965-11-05,2021-06-12,118000,59,3,FALSE,kent.williams@company.com,(210)351-3346
EMP5949CDC0,Matthew,Cunningham,Male,Florida,Miami,2023-05-03,Engineering,Senior Software Engineer,PhD,Good,No,141000,1973-07-12,,155000,51,1,TRUE,matthew.cunningham@company.com,-2549.00
EMPE533D996,Timothy,Harris,Male,Michigan,Detroit,2023-10-06,Engineering,Senior Software Engineer,Master's Degree,Needs Improvement,Yes,131000,1974-04-12,2024-08-03,139000,50,0,FALSE,timothy.harris@company.com,820.583.1681
EMP0ED819C8,David,Foster,Male,Pennsylvania,Philadelphia,2024-09-17,Engineering,Senior Software Engineer,Master's Degree,Good,No,143000,1993-02-16,,150000,32,0,TRUE,david.foster@company.com,(603)989-1736x90789
EMP820638E1,Matthew,Bryant,Male,Georgia,Savannah,2017-12-27,Sales,Sales Representative,High School,Excellent,Yes,49000,1979-02-07,,49000,46,7,TRUE,matthew.bryant@company.com,(972)300-0521x41070
EMPF0F36314,Nicole,Jones,Female,North Carolina,Durham,2019-06-27,Finance,Financial Analyst,Master's Degree,Satisfactory,No,76000,1973-09-08,,79000,51,5,TRUE,nicole.jones@company.com,(734)385-0895x12370
EMPC8DFB041,Marc,Hart,Male,Florida,Miami,2015-02-08,Sales,Sales Representative,High School,Excellent,Yes,63000,1985-06-23,,63000,39,10,TRUE,marc.hart@company.com,001-819-719-4454x56972
EMPD30CF541,Angel,Lewis,Female,Ohio,Cincinnati,2020-04-12,Sales,Sales Representative,Bachelor's Degree,Excellent,No,55000,1988-01-18,,55000,37,4,TRUE,angel.lewis@company.com,861-492-7671x37718
EMP7FBD21AD,Casey,Bailey,Male,Pennsylvania,Harrisburg,2022-01-27,Finance,Financial Analyst,Master's Degree,Good,Yes,72000,1980-02-13,,76000,45,3,TRUE,casey.bailey@company.com,(739)956-1266x78305
EMPD6AE4318,Shawn,Wood,Male,North Carolina,Charlotte,2018-03-03,IT,IT Support Specialist,High School,Satisfactory,No,69000,1993-11-06,,69000,31,6,TRUE,shawn.wood@company.com,471.438.8740
EMP789802DA,Jessica,Daniels,Female,Georgia,Macon,2020-04-27,Sales,Sales Representative,Bachelor's Degree,Good,No,59000,1977-05-09,,60000,47,4,TRUE,jessica.daniels@company.com,946.814.4662
EMP31F62E5E,Logan,Archer,Male,California,Los Angeles,2018-09-11,Human Resources,HR Specialist,Associate's Degree,Satisfactory,No,54000,1974-05-21,,55000,50,6,TRUE,logan.archer@company.com,630.441.1761
EMPED80B5DA,Joseph,Contreras,Male,Michigan,Ann Arbor,2020-08-03,Marketing,Marketing Specialist,Associate's Degree,Good,Yes,61000,1987-01-07,,61000,38,4,TRUE,joseph.contreras@company.com,+1-815-624-8319x6863
EMP41DE2EF3,Elizabeth,Alvarado,Female,North Carolina,Greensboro,2019-12-08,Engineering,Software Engineer,Master's Degree,Excellent,No,108000,1989-07-12,,110000,35,5,TRUE,elizabeth.alvarado@company.com,504.865.6896x9870
EMPF7057859,Brandy,Wilson,Female,Texas,Austin,2021-02-11,Operations,Project Manager,Master's Degree,Satisfactory,No,84000,1973-03-07,,87000,52,4,TRUE,brandy.wilson@company.com,-6219.00
EMP944C17F8,Natalie,Moore,Female,Florida,Jacksonville,2022-04-20,Marketing,Digital Marketing Manager,Master's Degree,Good,Yes,102000,1967-08-09,,106000,57,2,TRUE,natalie.moore@company.com,001-731-559-2291x2706
EMP5E5AE625,Lisa,Robbins,Female,Texas,Austin,2021-03-21,Engineering,Senior Software Engineer,Master's Degree,Good,No,119000,1987-10-27,2023-09-24,121000,37,2,FALSE,lisa.robbins@company.com,410-440-6291x187
EMPC036D940,Madison,Baker,Female,North Carolina,Raleigh,2018-07-09,Sales,Sales Representative,High School,Excellent,Yes,46000,1994-10-05,,45000,30,6,TRUE,madison.baker@company.com,224.971.8301x81796
EMPB5FCD152,Danielle,Odonnell,Female,New York,Syracuse,2016-01-20,Sales,Sales Director,Bachelor's Degree,Good,No,126000,1962-09-10,,128000,62,9,TRUE,danielle.odonnell@company.com,278-798-4974x99799
EMP88B8E917,Brandon,Henderson,Male,Georgia,Augusta,2024-04-17,Sales,Sales Representative,Bachelor's Degree,Satisfactory,No,64000,1993-08-24,,66000,31,0,TRUE,brandon.henderson@company.com,(721)871-1486
EMP7F84E3B5,Amanda,Cook,Female,Texas,San Antonio,2024-02-20,Sales,Sales Manager,Master's Degree,Good,No,72000,1973-03-18,2024-12-19,75000,51,0,FALSE,amanda.cook@company.com,(781)889-8106x173
EMPD83DBF6E,William,Martin,Male,New York,Albany,2020-06-20,Sales,Sales Representative,High School,Good,Yes,47000,1991-04-29,,47000,33,4,TRUE,william.martin@company.com,716.931.2975
EMP00B24963,Kristen,Patterson,Female,Ohio,Akron,2021-01-04,Finance,Financial Analyst,Bachelor's Degree,Excellent,No,84000,1986-05-28,,84000,38,4,TRUE,kristen.patterson@company.com,(961)369-4963
EMPEE49CB4D,Brian,Landry,Male,Illinois,Rockford,2017-09-26,Sales,Sales Representative,High School,Excellent,No,51000,1976-09-06,,52000,48,7,TRUE,brian.landry@company.com,493-289-9906
EMPDF0FA943,Stephanie,Gardner,Female,Texas,Austin,2022-11-21,Operations,Operations Analyst,Bachelor's Degree,Satisfactory,No,67000,1998-09-08,,67000,26,2,TRUE,stephanie.gardner@company.com,430-371-6753
EMP60AE532B,Jacob,Tran,Male,North Carolina,Charlotte,2024-06-15,Engineering,Software Engineer,Bachelor's Degree,Satisfactory,No,80000,1987-07-08,,82000,37,0,TRUE,jacob.tran@company.com,(233)261-3179x8549
EMP1EDD5BF5,Bethany,Parker,Female,Illinois,Chicago,2017-12-16,Human Resources,HR Director,Master's Degree,Excellent,No,139000,1973-01-02,,144000,52,7,TRUE,bethany.parker@company.com,590-737-2954x5858
EMPF91F10D4,Timothy,Stanton,Male,Texas,Austin,2022-01-16,Operations,Operations Analyst,Master's Degree,Excellent,Yes,80000,1979-04-01,,85000,45,3,TRUE,timothy.stanton@company.com,001-463-499-8127x439
EMP835A0179,Stephanie,Clark,Female,Florida,Jacksonville,2020-04-06,Operations,Operations Manager,Bachelor's Degree,Good,No,116000,1970-02-02,,118000,55,4,TRUE,stephanie.clark@company.com,451-374-1925x81476
EMP36277CB1,Mary,Gomez,Female,New York,New York City,2019-08-06,Operations,Project Manager,Bachelor's Degree,Good,No,85000,1979-10-16,,86000,45,5,TRUE,mary.gomez@company.com,001-723-660-1863x994
EMP3B4CB7CF,Stephen,Russell,Male,Michigan,Ann Arbor,2023-08-30,Marketing,Marketing Specialist,Associate's Degree,Good,No,52000,1979-04-08,,53000,45,1,TRUE,stephen.russell@company.com,538-245-3156
EMP057224B5,Paul,Frost,Male,Illinois,Rockford,2024-04-01,Finance,Financial Analyst,Master's Degree,Good,No,76000,1983-03-23,,81000,41,0,TRUE,paul.frost@company.com,+1-630-779-6859x096
EMP47192124,Sharon,Cherry,Female,Pennsylvania,Erie,2020-11-10,Human Resources,Recruiter,Associate's Degree,Satisfactory,No,56000,1990-12-08,,54000,34,4,TRUE,sharon.cherry@company.com,001-487-324-0899
